entity,code,year,Q1,Q2,Q3,Q4,Q5,Q6
Afghanistan,AFG,2015,4.777930791,9.800814021,11.19145971,8.726600884,0.2912156055,7.167641653
Afghanistan,AFG,2016,4.681038362,9.685613053,10.94452171,8.482049261,0.2795571216,6.985272066
Afghanistan,AFG,2017,4.585641322,9.587883991,10.7932032,8.239530048,0.269260515,6.813385286
Afghanistan,AFG,2018,4.489043832,9.525363215,10.6617476,7.998282436,0.2659473759,6.653602341
Afghanistan,AFG,2019,4.409509592,9.493888128,10.50492808,7.807495509,0.2579739718,6.519976901
Afghanistan,AFG,2020,4.368569135,9.444196005,10.34125124,7.696592985,0.2512019294,6.431005155
